Tweets,Retweets,Favorite Tweets,Location
RT @womensweardaily: Natalie Portman taking French lessons with Alber Elbaz at the performance of the L.A Dance Project in Paris. ,,,
We have 3 new photos from one of Natalie Portman's first ever photoshoots -  ,,,
Get Natalie Portman's contrast sweater. Or don't. Your call. - ,,,
And Natalie will be permanently moving to France in spring of 2014 - ,,,
Looks like it might be a Cannes visit for Natalie Portman tomorrow. Let's wait and see... - ,,,
Natalie Portman and Aleph are in Paris - ,,,
@anyascollywogs hey nice. If I do think update with this on the weekend please send a reminder.,,,
"Tidbits! - #jgag worries buyers, Ewan ready to start work and Franco thinks Your Highness sucks - ",,,
Natalie Portman and Aleph attended the Frieze Art Fair on the weekend - ,,,
The first publicity still for #knightofcups features Natalie -  ,,,
Of the 4 actors cast as the villain in #jgag who excited the most? New poll over here - ,,,
@publicfutility It wasn't a documentary.,,,
Macbeth has financing from StudioCanal and Film4. Will film early 2014 - ,,,
@YoJohanaTu nope,,,
Natalie Portman almost starred in Gravity. The trailer is now here and I am depressed - ,,,
@YoJohanaTu Thor 2 in November,,,
Natalie Portman holds on to a heavy Aleph in new set of candids -  ,,,
We have some new old photos of Natalie Portman from a 2012 shoot -  ,,,
Natalie Portman's Malick films might not be as challenging as usual Malick films - ,,,
Natalie showing leadership on the set of #jgag - ,,,
Ewan McGregor joins #jgag to complete the Star Wars reunion of the 3 main cast members - ,,,
Guest list be damned. Natalie Portman did not attend the MET Gala but was seen in Los Feliz  - ,,,
"It's mostly silent, is for a Dior installation and is around 10 minutes long - ",,,
Natalie Portman's short filmed with Shirin Neshat is called Through The Abyss - ,,,
Tomorrow she'll be in NY for the MET Gala.,,,
Natalie Portman was snapped while shopping at health store in LA - ,,,
We have some photos from Natalie Portman's secretive short film for Shirin Neshat -  ,,,
@kundiko We are not Natalie :-),,,
We've added some great HQ photos of Natalie Portman from 2010 -  ,,,
New Poll - So how do you feel about Natalie Portman doing Macbeth? - ,,,
RT @CMGNationalNews: @natpdotcom She hasn't changed at all over 14 years! ,,,
Joel Edgerton talks #jgag and Pride &amp; Prejudice &amp; Zombies has a new director and star - ,,,
Bradley Cooper leaves #jgag - ,,,
The pros and cons of Natalie Portman doing Macbeth - ,,,
Natalie Portman has her next film lined up - playing Lady Macbeth opposite Michael Fassbender's Macbeth - ,,,
Breaking news. Natalie Portman joins Fassbender in a remake of Macbeth - ,,,
Here is your Natalie Portman wallpaper calendar for May -  ,,,
She finally appears! Natalie Portman attended Gathering Of Nations and we have photos from the event - ,,,
New poll time. What did you think of the Thor 2 trailer? - ,,,
Ok so it will be Natalie Portman's second MET Gala appearance #whoops - ,,,
Make sure you check out our HQ Thor 2 trailer screen captures -  ,,,
@siksounz The comic? Unfortunately it was too expensive to continue.,,,
Guess who is on the guest list for the MET gala. Incredibly it will be Natalie's first appearance - ,,,
"Tidbits! Braff to finally followup Garden State, Ramsay heads to Cannes and Natalie falls - ",,,
The Thor 2 trailer is here and it's epic - ,,,
Here's the first look at the Thor 2 trailer - ,,,
The first Thor 2 photo featuring Natalie Portman is finally here. HQ version at the site -  ,,,
New Natalie Portman photo surfaces from a naughty 2007 public appearance -  ,,,
"Thor 2 poster is here without Natalie, but she'll get her own character poster I'm sure -  ",,,
2010 Natalie Portman photo seen for the first time in colour -  ,,,
Really great new Natalie Portman drawing for you guys -  ,,,
How about some #jgag tidbits. Finally some positive news from the set. Plus Natalie spotted dining with family - ,,,
"Todays tidbits include 7 inch Natalie Portman, Malick scissors and does Untitled have a title yet - ",,,
New poll. So just how excited are you for that upcoming Thor 2 trailer? - ,,,
Thor 2 trailer will be here soon. In the meantime you can read a description of the trailer - ,,,
My oh my. Love this Natalie Portman shot from DuJour and Dior  -  ,,,
"Jane gets her husband. And it's an actor who was in Natalie's second feature film, Beautiful Girls -  #jgag",,,
Are you pumped or slumped about Bradley Cooper joining #jgag? - ,,,
Remember that smoking hot vid of Nat and Fassy at the football game? Here's a better look - ,,,
"RT @FINCA: Natalie Portman:""Id rather talk about FINCA than what dress Im wearing or who Im dating""  5 Celebs d ...",,,
Rumours say Natalie Portman is not showing up on set on #jgag  but they are wrong wrong wrong - ,,,
Bradley Cooper tries to kill Natalie Portman in #jgag We have our villain. Again. - ,,,
Take a look at Natalie Portman in Israel in 1995 #gonnabespecial -  ,,,
Here's the first look at Natalie Portman in Thor 2 - ,,,
RT @cyd_denning: when ashton kutcher makes natalie portman a period mix tape&gt;&gt; haha #favoritepart ,,,
Warm up for Thor 2 trailer with Marvel Phase 2 preview - ,,,
RT @AmoAmmo: @natpdotcom Magorium is on ITV2 tonight at 6:30 and on ITV2+1 at 7:30pm. #uktv,,,
Here are the Charlie Awards winners. A big thanks to all who voted - ,,,
We have added several HQ miss dior promos of Natalie Portman to the site - ,,,
Where is dazza? - ,,,
#jgag theory number 15 - Natalie and Ramsay had a falling out. Surprised this one took so long - ,,,
Two new Natalie Portman Dior photos emerge from the pool -  ,,,
The final charlie awards category is here. Rate the Natalie year of 2012 - ,,,
Yet more insight into #jgag from THR. Fascinating stuff - ,,,
@AntonAqdw Creepy. Doubly creepy because we aren't Natalie.,,,
@AntonAqdw Great :-),,,
Get the latest #jgag news including the 3 actors being looked at to replace Jude Law - ,,,
@RealNataliePort Don't follow fake Natalie accounts.,,,
@ztp125 She's never had one. All fakes.,,,
@jtwvl Yes. Check the site for the post from yesterday.,,,
Jane Got A Gun has officially started filming. Whew! - ,,,
Charlie Awards: Best Natalie Drawing of 2012 - ,,,
"Now Jude Law leaves the film as well. Holy moly, if they can pull a great film out of this they all deserve medals - ",,,
Jane Got A Gun has a new director. Hit the link to see who it is - ,,,
The producers insist the production will go ahead and they are looking for a replacement. Natalie must be furious - ,,,
Holy shit. Production begins on Jane Got A Gun but director Lynne Ramsay is a no show.,,,
RT @MagnumPrime: Natalie Portman | 25 Child Stars Who Made It | Photo 1 of 24 |  ,,,
Is Natalie Portman heading back to the UK for Thor 2 reshoots? That and more in today's tidbits - ,,,
@iktriad Finally getting to it now. Thanks!,,,
Charlie Awards: Best Wallpaper of 2012 - ,,,
I cannot wait for the first footage of Natalie Portman in Malicks 2 new films - ,,,
Charlie Awards: Most Frustrating Missed Opportunity - The 2012 films that got away - ,,,
Another edition of Get The Natalie Portman Look. This time - leggings! - ,,,
A hot new photo of Natalie Portman from Miss Dior -  ,,,
Charlie Awards: Most Anticipated Linked Film - ,,,
"Speaking of Jane Got A Gun, we have a new poll up about Fassy leaving and Jude joining - ",,,
"To clarify, Jude Law is playing the husband role who also happens to be the leader of the outlaw gang. Edgerton now plays Nat's ex lover.",,,
Fassbender out and Jude Law in for Jane Got A Gun. Filming begins in April - ,,,
Natalie Portman's Austin set Malick film sounds raunchy according to cast member - ,,,
Charlie Awards: Your Most Anticipated Upcoming Natalie Portman Film - ,,,
Miss Dior page in Harpers Bazaar - ,,,
Charlie Awards: Best Video - Watch them all again and then vote! - ,,,
@picperfectionz That video is up for a charlie award which you'll be able to vote for in around 10 minutes.,,,
Natalie Portman's signature up for grabs in this charity auction - ,,,
The Charlie Awards - Best Photo Of Aleph - ,,,
Did you like the Oscar after party pics? Well make sure you take a look at the photos we've added - ,,,
@AnggieBCH She is not on twitter.,,,
@AnggieBCH I am a guy from south Africa. Make sense now?,,,
Did the month of Dior rock your world or just tire you out? New poll - ,,,
Natalie Portman goes shopping and shows off another animal themed item of clothing -  ,,,
@HeYNaH_ Awesome looks good,,,
The Charlie Awards - Best Natalie Portman Public Appearance of 2012. Vote now! - ,,,
"We have a new Natalie Portman drawing up, which you can own if you want to drop some cash -  ",,,
@iktriad Great thanks.,,,
@dr_gonzo1968 Natalie is not on twitter. Any account you were following was a fake.,,,
@CidEnzoo We are not Natalie Portman. She does not have Twitter.,,,
Pride and Prejudice and Zombies is coming back to life with Natalie Portman still producing - ,,,
The Charlie Awards - Worst Natalie Portman News of 2012...vote now! - ,,,
Check out our awesome new Natalie Portman wallpaper calendar for March -  ,,,
We have new candids of Natalie out and about in LA -  ,,,
Finally time for a new poll. Did you prefer the Dior short film or the behind the scenes vid more? - ,,,
"Imagine driving along, turning your head and seeing Natalie in the car next to you -  ",,,
Charlie Awards - What was the best Natalie Portman news from 2012? Vote now! - ,,,
Finally here is our album of Natalie Portman at the Oscar after party -  ,,,
Natalie Portman is at the Vanity Fair Oscar party. Will have more later in the day -  ,,,
The Charlie Awards - Best Magazine Photo. Vote now! -  ,,,
"Every year we do our annual charlie awards, which look back at the previous Natalie Portman year. Today we finally begin with...",,,
The behind the scenes vid for Miss Dior film may be even better than the final product -  ,,,
The behind the scenes vid for Miss Dior film may be even better than the final product -  ,,,
The full Miss Dior ad/film has arrived! -  ,,,
Natalie Portman is featured on the cover for Eva Magazine  -  ,,,
Natalie Portman looks STUNNING in this video interview for Dior -  ,,,
Natalie Portman looks STUNNING in this video interview for Dior -  ,,,
Natalie Portman and the family (and Whiz!!!) are photographed at the beach -  ,,,
"Tidbits! Santoro talks Jane, Intouch talks Santoro, Jane wants extras willing to get in touch with their naked side - ",,,
This damn short film better be amazing with the amount of build up they're putting into it :-P,,,
Not to mention 2 more teaser trailers for the short film - ,,,
Dior has a Tumblr showing off great shots from the Miss Dior campaign -  ,,,
Natalie Portman takes the whole family whale watching -  ,,,
Make sure you check out the website for the upcoming Dior film -  ,,,
We have 1 trailer and 2 teasers for upcoming Natalie Portman Sofia Coppola Dior short film - ,,,
"@Evatarida Yeah, I can kinda see that.",,,
Check out this new Natalie Portman drawing -  ,,,
Did you like Natalie Portman's horsey sweater? Well you can possibly get one for yourself - ,,,
James Franco tells Kimmel that Natalie Portman acted in a film for the UCLA class that he teaches - ,,,
Happy Valentines Day and Happy Birthday to us! - ,,,
"Wow, Natalie Portman looks amazing in this extended Dior Overcurl video - ",,,
Natalie Portman makes an appearance in a new video titled The Story Of Miss Dior -  ,,,
We've added 6 new Natalie Portman Dior photos to the site -  ,,,
We've added 6 new Natalie Portman Dior photos to the site -  ,,,
"Get it while it's hot, the Natalie Portman - Sofia Coppola Miss Dior tv spot has arrived - ",,,
Well hello there. Here is a sneak peek at the new Natalie Portman Dior advert - ,,,
New Dior ad airs during Grammys. That and more in today's tidbits - ,,,
Natalie Portman must really love horses. Check out these new candids from yesterday -  ,,,
@Yira99 Click the gear icon top right and then click on direct messages. Look through there to see if there are messages you didn't write.,,,
@HeYNaH_ don't think I have but check your sent dms to be sure.,,,
A dozen messages a week I should say. Make sure no unknown 3rd party apps have access to your account in settings and change password.,,,
Natalie fans. Check your sent direct messages in Twitter. I get at least a dozen messages from twitter accounts that have been hacked.,,,
"Another new set of Natalie candids, but these get filed under ""icky"" - ",,,
@AldoZamorano Thanks but already posted 2 months ago.,,,
@Rogerwhutwhut ThAnkSS,,,
We have the HQ version of that great new Natalie Portman dior advert -  ,,,
Get the Natalie Portman look. Black sweater and Dior sunglasses edition - ,,,
Natalie Portman looks like she had a great time in this classic candid lunch outing -  ,,,
"In todays tidbits - Rodrigo joins Jane, Marvel phase 2 broken down and Natalie magazines up for grabs - ",,,
"So, what do we think of this Dior ad? It's new poll time - ",,,
Natalie Portman and her family headed down to the flea market this weekend -  ,,,
We've added screen captures from the new Dior behind the scenes video -  ,,,
"If you're not in Natalie Portman heaven yet, this might get you there -  ",,,
The february Natalie calendar has arrived -  ,,,
We've added several great new Natalie Portman Dior photos -  ,,,
Big day of Natalie Portman content coming up on the site. Stay tuned.,,,
If you tried to view yesterdays vid on your phone you probably got the wrong one. Now a direct link on the site - ,,,
Drop what you're doing and make a beeline for this behind the scenes video of Natalie Portman from Diorshow shoot - ,,,
Are we liking these Dior print ads? Personally I'm not a fan - ,,,
"Tidbit roundup! First official Thor 2 pic, Natalie on Hollywood cry face list and possibly spotted in UK - ",,,
A new rare vintage photo of a 12 year old Natalie Portman -  ,,,
"Remember those Star Wars re-releases in 3D? Well, episode 2 and 3 aren't happening anymore - ",,,
We've added a couple gorgeous HQ versions of old Finca Natalie Portman photos -  ,,,
@invalidia Cool :-),,,
@Team_Kourtney Paris is in France...,,,
Happy or sad about Natalie Portman moving to Paris? Let us know in our new poll - ,,,
@nataliepbr I don't think it's likely but maybe we'll get lucky :-),,,
@ztp125 her Paris trip was very short.,,,
That was quick. Natalie Portman lands back in LA -  ,,,
"The new  banner is up. Hope you guys like it. And if not, well, guess you should have voted more - ",,,
Did I say 3 photos? Here's a 4th great new Natalie Portman Miss Dior shot -  ,,,
"Here we go, 3 new Miss Dior photos + news that a new Sofia Coppola directed TVC on the way -  ",,,
@thamei Sure you can :-) You wouldn't have to if I wasn't stuck at work.,,,
@Mbourven keep dreaming,,,
Stay tuned. We have some amazing new Natalie Portman content coming later.,,,
"That was quick, here are photos of Natalie leaving LA and arriving in Paris. House hunting? -  ",,,
@cesarlino09 she's already married to a French guy. I bet his toast is great.,,,
@cesarlino09 view the link,,,
"Breaking news. Goodbye LA, hello Paris. Natalie Portman and her family are going to live in France - ",,,
Two MUST SEE new Dior photos of Natalie Portman -  ,,,
We have some photos from Natalie Portman's visit to Nobu restaurant a few days ago. Turns out Ben was also with her - ,,,
@HeYNaH_ 40 bucks and its yours :-),,,
Another edition of Get The Natalie Look - ,,,
Natalie Portman carries a bag (or does the bag carry her?) in new candids from Monday -  ,,,
"Tidbits - another stupid forbes list, Nat spotted and Nobu, and a reminder of Natalie's Sundance hit - ",,,
We've supersized that new Dior advert. Check out the even more HQ version on the site - ,,,
"In case you didn't notice, we added better quality photos to yesterday's candid gallery - ",,,
Natalie Portman was photographed leaving the shops on Friday -  ,,,
Natalie Portman in Italian Vogue day 6...the final day :-( -  ,,,
@indy_chic yup a classic,,,
Day 5 of Vogue Italia is here. This is probably my favourite Natalie Portman shot of the bunch -  ,,,
"So then, which new banner should we use on the site? - ",,,
Here's day 4 of Natalie Portman's Vogue Italia shoot -  ,,,
"Natalie's next film, Jane Got A Gun, will start filming in March - ",,,
Day 3 of Natalie Portman in Vogue Italia. Half way there! -  ,,,
Registration to comment on the site was accidentally turned off. Should be working 100% now - ,,,
Day 2 of those HQ Italian Vogue shots -  ,,,
The photographers were on hand again as Natalie Portman was out and about in Los Feliz -  ,,,
So begins a week of HQ versions from 2004 Vogue Italy shoot. Day 1 -  ,,,
"RT @markanthonyiam: will you sign and RT my petition to have solar installed on the White House roof please? 
#WHSolar",,,
@Lobomatico1 first letter of Jewish alphabet.,,,
Natalie Portman and Aleph go on a play date -  ,,,
RT @Zac_Posen: When we were young... Natalie portman an her dog charlie at my second fashion show in New York City ,,,
RT @BarcaTheOffside: Cesc's fall for that PK reminded me of Natalie Portman in Black Swan.,,,
"@MarshiPooh Tusen Takk Marshi :-) Lol, where is Tom's hand in your wallpaper?",,,
Stop the press! We have HQ versions of that new Natalie Portman Dior ad. Perfection! -  ,,,
How cute is this cartoon from today's tidbits update -  ,,,
Get the Natalie Portman look...this edition isn't cheap -  ,,,
@Eileen__MD It was a bad joke :-),,,
@Eileen__MD I was just making a joke at the fact that we haven't had a new film in a year and a half.,,,
Natalie Portman and Aleph were once again photographed by the paparazzi -  ,,,
Natalie Portman not nominated for an Oscar this morning. Outrage!,,,
PS - the old RSS won't work anymore but the new RSS feed should be working fine. The link is at the top of ,,,
To slideshow or not to slideshow. You let us know - ,,,
First new photos of Natalie Portman in almost 2 months. Bye bye blonde -  ,,,
@Mediasyndrome Thanks but I saw that on Facebook about a month ago :-),,,
We have a text free version of Natalie Portman 2011 Elle photo + album of the week is back! -   ,,,
New poll up on the site. Want to know which of the two new Dior photos was the most striking - ,,,
@igorekrf The film had that effect on many people.,,,
@MissDash1979 She values her privacy. Been that way for 20 years and with a family now she probably feels even more strongly about it.,,,
@MissDash1979 I don't think thats ever going to happen.,,,
2 decades later and we're still receiving great gifts from Leon The Professional -  ,,,
@nataliepbr my guess would be no :(,,,
Tidbits! Thor 2 is being anticipated by The Playlist while Natalie is spotted at Newark airport - ,,,
@akkislon Try  and ,,,
@akkislon My tastes are quite wide ranging so there's plenty you'd hate. But if you like interesting electronic music with female vocalists,,,
"@akkislon That's the one. Great track, pity the rest of the album couldn't match it.",,,
"@akkislon You'll have to fight me for her. Careful, I scratch.",,,
@akkislon Probably the song I listened to most in 2012 (after Fineshrine) and I only heard it for the first time in mid December.,,,
More Dior. MUST SEE this new black and white Natalie Portman shot - ,,,
We have 4 more versions of Natalie Portman's new Dior ad -  ,,,
@Babynefertitii Then I still agree :-),,,
@Babynefertitii I don't speak French but I'm going to go ahead and say...I agree!,,,
Check out this preview of a new Natalie Portman Dior campaign shot. Just a little bit gorgeous -  ,,,
"Natalie Portman spotted at the MET in NY. And she's not bald! Wait, what? - ",,,
@KMI_Kali single? She's married!,,,
Want to have your work permanently on the main page of  We're looking for banner submissions - ,,,
Star Wars fans should get a kick out of this new fanart -  ,,,
Happy new year to Natalie fans everywhere. Please enjoy this first calendar for 2013 -  ,,,
Check out this 1999 video of Natalie Portman and Susan Sarandon at the press conference for ABH - ,,,
"Hey, we hit 6k followers. Here's to a big 2013 for Natalie news.",,,
@smsajjadi There's probably a widget for that.,,,
@Hashtag_1DLuv Self control is totally overrated.,,,
How about a couple great Natalie Portman new oldies to kick off the final weekend of 2012? -  ,,,
"@olamasalska Yeah I know, it was just an excuse to mention them :-)",,,
I'm using the slight similarity between Natalie and a singer as an excuse to talk about Scottish band Chvrches - ,,,
@Hashtag_1DLuv Only a little? ;-),,,
Forbes names Natalie Portman Hollywood's most bankable star - ,,,
Our first poll on the new site and it's also about the new site. Let us know what you think - ,,,
Merry Christmas and behold the brand new website design - ,,,
Big news coming tomorrow on the site - ,,,
We've added bluray caps from Hotel Chevaliar and Darjeeling Limited to our gallery -  ,,,
We've got a surprise coming on Xmas. Wanna guess what it is? - ,,,
Another edition of get the Natalie Portman look - ,,,
"Tidbits! Natalie Portmans eyebrows gets a radio show, V for Vendetta causes a stir in China and video from Cincinnati - ",,,
@andres72333401 Natalie is not on Twitter. Only fakes.,,,
@AndrewCandler Seems to be the number 1 take away from people who meet her.,,,
@AnggieBCH Sorry but I'm not Natalie. You probably don't want to be like a guy in South Africa :-P,,,
We've added many new on set Black Swan photos. Must see for Natalie Portman fans -  ,,,
Natalie Portman parties like it's 2005 -  ,,,
@JBIEBERLONDON I wouldn't hold your breath. It's just not her cup of tea.,,,
"@JBIEBERLONDON Nope, same story I'm afraid.",,,
@JBIEBERLONDON Hiya. She doesn't have one. Very private person. Plenty of fakes online though.,,,
These are just awesome. Film stills juxtaposed with real world locations -  ,,,
Heard that Natalie Portman is still hoping to do In The Garden Of Beasts with Tom Hanks - ,,,
Mini pic battle in today's new poll - ,,,
@Hashtag_1DLuv I remember that quote. Definitely a good one :-),,,
We've added a ton of GREAT new photos from Black Swan -  ,,,
In today's tidbits - Natalie Portman is still in London. And McFly are still obsessed with Natalie - ,,,
Find out where Natalie Portman landed on Askmen's Top 99 Women list - ,,,
@iktriad Thanks for the reminder.,,,
"As promised, check out this elegant HQ photo from 2007 Teen Vogue -  ",,,
"Aussie actor, Joel Edgerton looks set to join Natalie Portman's upcoming western, Jane Got A Gun - ",,,
Amazing HQ photo from the 2007 Teen Vogue set of Natalie Portman. Another one coming tomorrow -  ,,,
We've added a couple new shots from Natalie Portman's Dior press conference in NY -  ,,,
The longer (and better) version is extended/directors cut or Leon Integrale.,,,
"To clarify, I was asking purely what film title you think is better. Leon was the European name of the original cut of The Professional.",,,
@Rogerwhutwhut Edited as in the original cut? And they call that The Professional? Interesting.,,,
@OfficialMariano I am not Natalie and there is no official site/twitter.,,,
@Rogerwhutwhut Leon and The Professional are the same film though. Has Leon come to mean the directors cut in the US?,,,
"@Greycleric08 Was just asking about title. As it is, Leon was the name for the same cut of The Professional in Europe.",,,
Head scratching Sunday. Which do you prefer? The Professional or Leon? - ,,,
Check out this new drawing of Padme and Anakin - ,,,
@veniceirenep Which one?,,,
"If you've seen Hesher and haven't voted in our film rating poll yet, you've got a couple hours left - ",,,
Tidbits! Want to be an extra in Natalies next film? Thor 2 footage seen + more Natalie Mara Rooney Portman confusion - ,,,
Chris Hemsworth draws parallels between Thor 2 and Game Of Thrones and throws science under the bus - ,,,
You have to see this Natalie Portman drawing. Absolute perfection -  ,,,
Tidbits - Natalie Portman is still in London and she makes VH1's greatest kid stars list - ,,,
"@SorayaRoberts Ah, gotcha. Thought you were doubting my status as a gentleman and a scholar ;-)",,,
@SorayaRoberts Come again?,,,
@SorayaRoberts Just heard back from a solid source that has no idea what he's talking about. Guess it was a joke.,,,
@SorayaRoberts Dowd lied!,,,
@SorayaRoberts The tip is the best part. Thanks again. I have a feeling December and January are going to be the Sahara desert of Nat news.,,,
What is Natalie Portman filming with Chris O'Dowd? - ,,,
"How about another ""new"" Natalie Portman as Mathilda photo? -  ",,,
Kick off the new week with a new Natalie Portman outtake photo -  ,,,
Rate Hesher so we can determine where it fits amongst Natalie Portman's filmography - ,,,
@LorenaCaro No problem. Hold onto that happiness.,,,
2 decades later here is a new photo of Natalie Portman and Jean Reno from The Professional -  ,,,
Here is our December Natalie wallpaper calendar - ,,,
@LawlCarl We're not Natalie but thanks for the creepy sentiment all the same ;-),,,
"@ztp125 Thanks, stay tuned because we've got some changes coming and next year should be big for Natalie news.",,,
@lazaro07211969 a) we aren't Natalie b) have you not seen the film? the role required her to lose a lot of weight.,,,
HQ untagged version of a great Natalie Portman as Nina in Black Swan photo -  ,,,
Natalie Portman pays tribute to Austin Pendleton - ,,,
Aleph takes a ride on Natalie Portman's shoulders #toocuteforwords -  ,,,
Rate Natalie Portman's film The Other Woman in our new poll. The results will go on the film's page FOREVER - ,,,
@SidGosling Don't think so,,,
Natalie Portman is wearing a wig on Thor 2. Confirmation that she is still blonde -  ,,,
@Lilyrose_77 Natalie had her people vetting Dior rigorously before joining them. Even down to how bees were treated.,,,
A rather stunning new shot from Natalie Portman's last photo shoot for Elle -  ,,,
We've added a couple new happy Natalie Portman photos to a 2010 album -  ,,,
"Check out the alternate ending of Thor, which features Natalie Portman's Jane Foster - ",,,
More great pics of Natalie Portman on the Thor 2 set. But is that a wig? -  ,,,
@notties0070 Can't complain,,,
@notties0070 I'm also South African. Howzit.,,,
@notties0070 Obviously in Europe. In the US it's called The Other Woman,,,
@SidGosling Greenwich in London,,,
Check out today's Natalie Portman photos from the Thor 2 set. Much better don't you think? -  ,,,
Check out today's Natalie Portman photos from the Thor 2 set. Much better don't you think? -  ,,,
Check out today's Natalie Portman photos from the Thor 2 set. Much better don't you think? -  ,,,
Got a couple more shots of Natalie Portman on the set of Thor 2. This time with Chris Hemsworth -  ,,,
Check out the first clear shots of Natalie Portman on the set of Thor 2 -  ,,,
Natalie Portman as The Other Boleyn Girl in this new promo photo find -  ,,,
Has anyone got Paul McCartney's Live Kisses DVD? Are there any Natalie Portman treats on it? - ,,,
Jane Got A New Poll - I want to know what you guys thought about the synopsis of Natalie's next film - ,,,
@ChantellDawnSny Here is a recent account - ,,,
@bunnns You may have seen me joke on the site how ppl confuse Nat and Rooney. So you could always do the same and pretend it's her ;-),,,
Malekith rises. Thor 2's villain looks like one pissed off elf - ,,,
"@ChantellDawnSny Yeah, I've heard from lots of people over the years.",,,
"@bunnns You mean for the Malick film? No, I think she's finished her work on that film.",,,
@ChantellDawnSny She doesn't like being seen differently so ppl who are able to meet her on that level seem to do better than uberfans.,,,
"No Natalie today but if you're interested in spoilerish Thor 2 set photos, this might be of interest - ",,,
Tiny Natalie Portman met her match -  ,,,
Natalie Portman is blonde no more -  ,,,
"No Natalie yet, but here's Thor on set in London - ",,,
Natalie Portman and Hemsworth have been spotted filming on campus in London. Hopefully photos are on the way - ,,,
@HeYNaH_ Fantasy home wrecker!,,,
More Natalie Portman Rooney Mara confusion. I guess short white girls all look alike or something - ,,,
Natalie Portman fans deliver! Here is a better quality photo plus a new poll for it - ,,,
Natalie Portman scavenger hunt. We HAVE to find a better quality version of this photo -  ,,,
"@iamsuperroxy Cool, you have good taste ;-)",,,
"@iamsuperroxy Thanks, even though I'm not Natalie. Lot of Natalie fans in the Philippines it would seem :-)",,,
Here is a nice breakdown of all the bands and artists involved in the Untitled Terrence Malick film - ,,,
Sorry for the spamming of tweets. Twitter kept saying the tweet had timed out. Grrrr.,,,
Check out a better quality version of a striking Natalie Portman photo from 2005 -  ,,,
"Im trying to be bolder in some of my creative choices and be less self-censoring, - Natalie Portman from Mindfood - ",,,
Natalie Portman is likely very very happy and relieved today -  ,,,
We've got a few more nuggets of info from the world of Malick - ,,,
Support the site. Pretty please :-) - ,,,
"Val Kilmer brings his chainsaw, and Rooney Mara a guitar, to the stage for Malick's still filming Untitled film - ",,,
"Natalie Portman's shaved head in new photo from her NY, I Love You appearance - ",,,
Check out this new radio interview with Natalie Portman about the elections. The host starts with a very big mistake - ,,,
In a galaxy a long long time ago came a new poll about the 7th Star Wars film - ,,,
"Wow, there's a new Natalie trailer on Yahoo with Channing Tatum and Jude Law. Oh, wait, nevermind. It's Rooney Mara.",,,
"Tidbits! Natalie Portman makes hottest virgin list, might be still in Austin and rocks a great fan made music video - ",,,
@Rogerwhutwhut Thanks. Again.,,,
@Rogerwhutwhut What was that link again? Twitter loses interactions like nobodies business.,,,
Fassbender and Natalie Portman's Jane Got A Gun aims for February shoot. The synopsis has arrived - ,,,
Looks like Natalie Portman and family are now in London - ,,,
"@filipe_otavio Not yet, but I think they'll be along soon enough.",,,
"@filipe_otavio Yeah, been working at the update.",,,
Happy Halloween from the scary folk at  -  ,,,
@Rogerwhutwhut @ComplexMag Haha thanks,,,
Our new Natalie Portman November wallpaper calendar is one of the best yet -  ,,,
Our new Natalie Portman November wallpaper calendar is one of the best yet -  ,,,
Star Wars 7 on the way in 2015 as Disney buy Lucasfilm O_o - ,,,
Watch Natalie Portman talking about the Jerusalem hospital in which she was born in this video - ,,,
How great is this Natalie Portman fanart? - ,,,
Viewing that instagram photo on a better monitor at work and with less sleepy eyes...that's not Natalie. My bad!,,,
Natalie Portman is blonde no more -  ,,,
Natalie Portman is blonde no more -  ,,,
"Rooney Mara = Natalie Portman, Nat has a sister and is from the midwest...this is one strange batch of news items - ",,,
"RT @ElleCanada: ""I'm from the Midwestwe talk to people in the street,"" says #NataliePortman. @natpdotcom, have you read our interview?  ...",,,
@filipe_otavio Those people need their eyes checked. I'm 95% sure that's Rooney Mara.,,,
Got some gallery updates for you guys. Better versions of Natalie Portman from Elle UK 2010 -  ,,,
@jazaromero Very cool,,,
Natalie Portman swung by Montclair University yesterday as Ben's Dance group is performing there #supportivefamily - ,,,
Had tweets linking her to UK and Austin but heres proof Natalie Portman was back in NY yday -  ,,,
@filipe_otavio You sure? Loading fine for me.,,,
Check out a video of Natalie Portman and Michael Fassbender filming on a balcony for Terrence Malick - ,,,
"We've got a bunch of Thor 2 news items, including the likelihood that Natalie has reported for Jane Foster duty - ",,,
Natalie Portman's Dior mascara ad has been banned and here's why - ,,,
Here is the first look at Natalie Portman in the Shirin Neshat short film -  ,,,
If you haven't seen our new Natalie Portman set photos you need to RUN to the site #toohot -  ,,,
Natalie Portman and Fassy were filming a scene at the UoT football game last night -  ,,,
"If you didn't see the update last night, here is Natalie Portman with wet hair on the set of the new Malick film - ",,,
Might be considered spoilers to some. More new set pics of Natalie Portman and Fassbender -  ,,,
"@filipe_otavio Cool, the gallery is up already but there are some new additions there.",,,
@FassbenderLove Great find :-),,,
RT @FassbenderLove: @natpdotcom Looks like Stefan was on my page.,,,
@ThePlaylist Looks like Benicio Del Toro might also be in the new Malick film - ,,,
@AwardsDaily That's Del Toro with Natalie right? How ridiculous is this cast becoming? - ,,,
Natalie Portman now filming on a speedboat with Fassbender and Del Toro? #bestcastever -  ,,,
Get the Natalie Portman look - this time it's info on her pumps from the Nevada appearance -  ,,,
